ProductPricingID,ItemID,ItemNumber,PriceStore,PriceCustomerLevel,PriceVariant,PriceVariantInventory,PriceStartDate,PriceEndDate,PriceQuantity,Cost,Price,PriceVariantSurcharge,PriceCalculation,DeletePricing
9417,272,PT-2609,,,,,,,1000,0,0.225,,,
9418,272,PT-2609,,,,,,,2500,0,0.22,,,
9419,272,PT-2609,,,,,,,5000,0,0.215,,,
9420,272,PT-2609,,,,,,,10000,0,0.21,,,
9421,273,PT-1685,,,,,,,100,0,0.24,,,
9422,273,PT-1685,,,,,,,300,0,0.235,,,
9423,273,PT-1685,,,,,,,500,0,0.23,,,
9424,273,PT-1685,,,,,,,1000,0,0.225,,,
9425,273,PT-1685,,,,,,,2500,0,0.22,,,
9426,273,PT-1685,,,,,,,5000,0,0.215,,,
9427,273,PT-1685,,,,,,,10000,0,0.21,,,
9428,274,PT-1879,,,,,,,100,0,0.25,,,
9429,274,PT-1879,,,,,,,300,0,0.245,,,
9430,274,PT-1879,,,,,,,500,0,0.24,,,
9431,274,PT-1879,,,,,,,1000,0,0.235,,,
9432,274,PT-1879,,,,,,,2500,0,0.23,,,
9433,274,PT-1879,,,,,,,5000,0,0.225,,,
9434,274,PT-1879,,,,,,,10000,0,0.22,,,
9435,275,PT-1956,,,,,,,100,0,0.255,,,
9436,275,PT-1956,,,,,,,300,0,0.25,,,
9437,275,PT-1956,,,,,,,500,0,0.245,,,
9438,275,PT-1956,,,,,,,1000,0,0.24,,,
9439,275,PT-1956,,,,,,,2500,0,0.235,,,
9440,275,PT-1956,,,,,,,5000,0,0.23,,,
9441,275,PT-1956,,,,,,,10000,0,0.225,,,
9442,276,PT-2061,,,,,,,100,0,0.255,,,
9443,276,PT-2061,,,,,,,300,0,0.25,,,
9444,276,PT-2061,,,,,,,500,0,0.245,,,
9445,276,PT-2061,,,,,,,1000,0,0.24,,,
9446,276,PT-2061,,,,,,,2500,0,0.235,,,
9447,276,PT-2061,,,,,,,5000,0,0.23,,,
9448,276,PT-2061,,,,,,,10000,0,0.225,,,
9449,277,PT-2500,,,,,,,100,0,0.235,,,
9450,277,PT-2500,,,,,,,300,0,0.23,,,
9451,277,PT-2500,,,,,,,500,0,0.225,,,
9452,277,PT-2500,,,,,,,1000,0,0.22,,,
9453,277,PT-2500,,,,,,,2500,0,0.215,,,
9454,277,PT-2500,,,,,,,5000,0,0.21,,,
9455,277,PT-2500,,,,,,,10000,0,0.205,,,
9456,278,PT-846,,,,,,,100,0,0.24,,,
9457,278,PT-846,,,,,,,300,0,0.235,,,
9458,278,PT-846,,,,,,,500,0,0.23,,,
9459,278,PT-846,,,,,,,1000,0,0.225,,,
9460,278,PT-846,,,,,,,2500,0,0.22,,,
9461,278,PT-846,,,,,,,5000,0,0.215,,,
9462,278,PT-846,,,,,,,10000,0,0.21,,,
9463,279,PT-1568,,,,,,,100,0,0.24,,,
9464,279,PT-1568,,,,,,,300,0,0.235,,,
9465,279,PT-1568,,,,,,,500,0,0.23,,,
9466,279,PT-1568,,,,,,,1000,0,0.225,,,
9467,279,PT-1568,,,,,,,2500,0,0.22,,,
9468,279,PT-1568,,,,,,,5000,0,0.215,,,
9469,279,PT-1568,,,,,,,10000,0,0.21,,,
9470,280,PT-1214,,,,,,,100,0,0.24,,,
9471,280,PT-1214,,,,,,,300,0,0.235,,,
9472,280,PT-1214,,,,,,,500,0,0.23,,,
9473,280,PT-1214,,,,,,,1000,0,0.225,,,
9474,280,PT-1214,,,,,,,2500,0,0.22,,,
9475,280,PT-1214,,,,,,,5000,0,0.215,,,
9476,280,PT-1214,,,,,,,10000,0,0.21,,,
9477,281,PT-1527,,,,,,,100,0,0.235,,,
9478,281,PT-1527,,,,,,,300,0,0.23,,,
9479,281,PT-1527,,,,,,,500,0,0.225,,,
9480,281,PT-1527,,,,,,,1000,0,0.22,,,
9481,281,PT-1527,,,,,,,2500,0,0.215,,,
9482,281,PT-1527,,,,,,,5000,0,0.21,,,
9483,281,PT-1527,,,,,,,10000,0,0.205,,,
9484,282,PT-1200,,,,,,,100,0,0.24,,,
9485,282,PT-1200,,,,,,,300,0,0.235,,,
9486,282,PT-1200,,,,,,,500,0,0.23,,,
9487,282,PT-1200,,,,,,,1000,0,0.225,,,
9488,282,PT-1200,,,,,,,2500,0,0.22,,,
9489,282,PT-1200,,,,,,,5000,0,0.215,,,
9490,282,PT-1200,,,,,,,10000,0,0.21,,,
9491,283,PT-2350,,,,,,,100,0,0.24,,,
9492,283,PT-2350,,,,,,,300,0,0.235,,,
9493,283,PT-2350,,,,,,,500,0,0.23,,,
9494,283,PT-2350,,,,,,,1000,0,0.225,,,
9495,283,PT-2350,,,,,,,2500,0,0.22,,,
9496,283,PT-2350,,,,,,,5000,0,0.215,,,
9497,283,PT-2350,,,,,,,10000,0,0.21,,,
9498,284,PT-1690,,,,,,,100,0,0.24,,,
9499,284,PT-1690,,,,,,,300,0,0.235,,,
9500,284,PT-1690,,,,,,,500,0,0.23,,,
9501,284,PT-1690,,,,,,,1000,0,0.225,,,
9502,284,PT-1690,,,,,,,2500,0,0.22,,,
9503,284,PT-1690,,,,,,,5000,0,0.215,,,
9504,284,PT-1690,,,,,,,10000,0,0.21,,,
9505,285,PT-2629,,,,,,,100,0,0.245,,,
9506,285,PT-2629,,,,,,,300,0,0.24,,,
9507,285,PT-2629,,,,,,,500,0,0.235,,,
9508,285,PT-2629,,,,,,,1000,0,0.23,,,
9509,285,PT-2629,,,,,,,2500,0,0.225,,,
9510,285,PT-2629,,,,,,,5000,0,0.22,,,
9511,285,PT-2629,,,,,,,10000,0,0.215,,,
9512,286,PT-2762,,,,,,,100,0,0.26,,,
9513,286,PT-2762,,,,,,,300,0,0.255,,,
9514,286,PT-2762,,,,,,,500,0,0.25,,,
9515,286,PT-2762,,,,,,,1000,0,0.245,,,
9516,286,PT-2762,,,,,,,2500,0,0.24,,,
9517,286,PT-2762,,,,,,,5000,0,0.235,,,
9518,286,PT-2762,,,,,,,10000,0,0.23,,,
9519,287,PT-644,,,,,,,100,0,0.245,,,
9520,287,PT-644,,,,,,,300,0,0.24,,,
9521,287,PT-644,,,,,,,500,0,0.235,,,
9522,287,PT-644,,,,,,,1000,0,0.23,,,
9523,287,PT-644,,,,,,,2500,0,0.225,,,
9524,287,PT-644,,,,,,,5000,0,0.22,,,
9525,287,PT-644,,,,,,,10000,0,0.215,,,
9526,288,PT-821,,,,,,,100,0,0.245,,,
9527,288,PT-821,,,,,,,300,0,0.24,,,
9528,288,PT-821,,,,,,,500,0,0.235,,,
9529,288,PT-821,,,,,,,1000,0,0.23,,,
9530,288,PT-821,,,,,,,2500,0,0.225,,,
9531,288,PT-821,,,,,,,5000,0,0.22,,,
9532,288,PT-821,,,,,,,10000,0,0.215,,,
9533,289,PT-1236,,,,,,,100,0,0.25,,,
9534,289,PT-1236,,,,,,,300,0,0.245,,,
9535,289,PT-1236,,,,,,,500,0,0.24,,,
9536,289,PT-1236,,,,,,,1000,0,0.245,,,
9537,289,PT-1236,,,,,,,2500,0,0.23,,,
9538,289,PT-1236,,,,,,,5000,0,0.225,,,
9539,289,PT-1236,,,,,,,10000,0,0.22,,,
9540,290,PT-1155,,,,,,,100,0,0.255,,,
9541,290,PT-1155,,,,,,,300,0,0.25,,,
9542,290,PT-1155,,,,,,,500,0,0.245,,,
9543,290,PT-1155,,,,,,,1000,0,0.24,,,
9544,290,PT-1155,,,,,,,2500,0,0.235,,,
9545,290,PT-1155,,,,,,,5000,0,0.23,,,
9546,290,PT-1155,,,,,,,10000,0,0.225,,,
9547,291,PT-1225,,,,,,,100,0,0.275,,,
9548,291,PT-1225,,,,,,,300,0,0.27,,,
9549,291,PT-1225,,,,,,,500,0,0.265,,,
9550,291,PT-1225,,,,,,,1000,0,0.26,,,
9551,291,PT-1225,,,,,,,2500,0,0.255,,,
9552,291,PT-1225,,,,,,,5000,0,0.25,,,
9553,291,PT-1225,,,,,,,10000,0,0.245,,,
9554,292,PT-2661,,,,,,,100,0,0.25,,,
9555,292,PT-2661,,,,,,,300,0,0.245,,,
9556,292,PT-2661,,,,,,,500,0,0.24,,,
9557,292,PT-2661,,,,,,,1000,0,0.235,,,
9558,292,PT-2661,,,,,,,2500,0,0.23,,,
9559,292,PT-2661,,,,,,,5000,0,0.225,,,
9560,292,PT-2661,,,,,,,10000,0,0.22,,,
9561,293,PT-577,,,,,,,100,0,0.26,,,
9562,293,PT-577,,,,,,,300,0,0.255,,,
9563,293,PT-577,,,,,,,500,0,0.25,,,
9564,293,PT-577,,,,,,,1000,0,0.245,,,
9565,293,PT-577,,,,,,,2500,0,0.24,,,
9566,293,PT-577,,,,,,,5000,0,0.235,,,
9567,293,PT-577,,,,,,,10000,0,0.23,,,
9568,294,PT-1701,,,,,,,100,0,0.255,,,
9569,294,PT-1701,,,,,,,300,0,0.25,,,
9570,294,PT-1701,,,,,,,500,0,0.245,,,
9571,294,PT-1701,,,,,,,1000,0,0.24,,,
9572,294,PT-1701,,,,,,,2500,0,0.235,,,
9573,294,PT-1701,,,,,,,5000,0,0.23,,,
9574,294,PT-1701,,,,,,,10000,0,0.225,,,
9575,295,PT-2303,,,,,,,100,0,0.255,,,
9576,295,PT-2303,,,,,,,300,0,0.25,,,
9577,295,PT-2303,,,,,,,500,0,0.245,,,
9578,295,PT-2303,,,,,,,1000,0,0.24,,,
9579,295,PT-2303,,,,,,,2500,0,0.235,,,
9580,295,PT-2303,,,,,,,5000,0,0.23,,,
9581,295,PT-2303,,,,,,,10000,0,0.225,,,
9582,296,PT-2147,,,,,,,100,0,0.26,,,
9583,296,PT-2147,,,,,,,300,0,0.255,,,
9584,296,PT-2147,,,,,,,500,0,0.25,,,
9585,296,PT-2147,,,,,,,1000,0,0.245,,,
9586,296,PT-2147,,,,,,,2500,0,0.24,,,
9587,296,PT-2147,,,,,,,5000,0,0.235,,,
9588,296,PT-2147,,,,,,,10000,0,0.23,,,
9589,297,PT-763,,,,,,,100,0,0.275,,,
9590,297,PT-763,,,,,,,300,0,0.27,,,
9591,297,PT-763,,,,,,,500,0,0.265,,,
9592,297,PT-763,,,,,,,1000,0,0.26,,,
9593,297,PT-763,,,,,,,2500,0,0.255,,,
9594,297,PT-763,,,,,,,5000,0,0.25,,,
9595,297,PT-763,,,,,,,10000,0,0.245,,,
9596,298,PT-1408,,,,,,,100,0,0.26,,,
9597,298,PT-1408,,,,,,,300,0,0.255,,,
9598,298,PT-1408,,,,,,,500,0,0.25,,,
9599,298,PT-1408,,,,,,,1000,0,0.245,,,
9600,298,PT-1408,,,,,,,2500,0,0.24,,,
9601,298,PT-1408,,,,,,,5000,0,0.235,,,
9602,298,PT-1408,,,,,,,10000,0,0.23,,,
9603,299,PT-1437,,,,,,,100,0,0.275,,,
9604,299,PT-1437,,,,,,,300,0,0.27,,,
9605,299,PT-1437,,,,,,,500,0,0.265,,,
9606,299,PT-1437,,,,,,,1000,0,0.26,,,
9607,299,PT-1437,,,,,,,2500,0,0.255,,,
9608,299,PT-1437,,,,,,,5000,0,0.25,,,
9609,299,PT-1437,,,,,,,10000,0,0.245,,,
