link	title	description	image_link	additional_image_link	product_type	price	id	condition	expiration_date	shipping_weight	brand	mpn	gtin	availability	google_product_category	gender	age_group	color	size	material	pattern	item_group_id	adwords_grouping	adwords_labels	excluded_destination
http://www.nettleprops.com/store/p/73-SE-SPORT-300-HYDROFOIL.aspx?feed=Froogle	SE SPORT 300 HYDROFOIL	The fastest way to improve performance, reduce on-plane RPMS and save fuel  the SE Sport will pay for itself over and over. 	http://www.nettleprops.com/resize/images/Se sport/SE SPORT 300.jpg?lr=t&bw=230&w=230&bh=230&h=230		Accessories > SE SPORT HYDROFOILS 	59.9500	73	new	2014-09-10	5.0000 lb				available for order											
http://www.nettleprops.com/store/p/97-Solas-Amita-Aluminum-Propeller-13x15-4-Blade.aspx?feed=Froogle	Solas Amita Aluminum Propeller  13x15 4 Blade	Solas Amita Aluminum Propeller for Suzuki DF60 (4-Stroke) 	http://www.nettleprops.com/resize/images/Solas/Solas Amita 4 Blade.jpg?lr=t&bw=230&w=230&bh=230&h=230		New Propellers > Outboard Propellers > Suzuki Propellers > 35-65 HP Propellers	107.0000	97	new	2014-09-10	10.0000 lb	Solas			in stock											
http://www.nettleprops.com/store/p/100-PowerTech-3-Blade-Mercruiser-Aluminum-Propeller.aspx?feed=Froogle	PowerTech 3 Blade Mercruiser Aluminum Propeller	PowerTech Aluminum 3 Blade Mercruiser Propeller Fits Alpha & Bravo 1 Drives....Available in 13-23 Pitch. 	http://www.nettleprops.com/resize/images/Michigan/Vortex V-6 3 blade.jpg?lr=t&bw=230&w=230&bh=230&h=230		New Propellers > Sterndrive Propellers > Mercruiser Alpha/Bravo Propellers	95.0000	100	new	2014-09-10	12.0000 lb	PowerTech!			in stock											
http://www.nettleprops.com/store/p/101-Michigan-Vortex-4-Blade-Propellers.aspx?feed=Froogle	Michigan Vortex 4 Blade Propellers 	Vortex 4 Blade Aluminum Propeller Fits Alpha & Bravo 1 Drives.... 	http://www.nettleprops.com/resize/images/Michigan/Vortex V-6 4 blade.jpg?lr=t&bw=230&w=230&bh=230&h=230		New Propellers > Sterndrive Propellers > Mercruiser Alpha/Bravo Propellers	105.0000	101	new	2014-09-10	15.0000 lb	Michigan Wheel 			in stock											
http://www.nettleprops.com/store/p/102-Quicksilver-Bravo-2-Propellers.aspx?feed=Froogle	Quicksilver Bravo 2 Propellers 	Mercruiser / Quicksilver Bravo 2 Aluminum Propeller... 	http://www.nettleprops.com/resize/images/Quicksilver Propellers/Quicksilver BV2.jpg?lr=t&bw=230&w=230&bh=230&h=230		New Propellers > Sterndrive Propellers > Mercruiser Bravo 2 Propellers	475.0000	102	new	2014-09-10	20.0000 lb	Mercury Marine / Quicksilver			in stock											
http://www.nettleprops.com/store/p/103-Power-Tech-BRS3-Bravo-2-3-Blade-Propeller.aspx?feed=Froogle	Power Tech BRS3 Bravo 2 3 Blade Propeller	17 1/4 Power Tech BRS 3 Blade Bravo 2 Stainless Steel Propeller... 	http://www.nettleprops.com/resize/images/Power Tech/PTBV2.jpg?lr=t&bw=230&w=230&bh=230&h=230		New Propellers > Sterndrive Propellers > Mercruiser Bravo 2 Propellers	510.9500	103	new	2014-09-10	30.0000 lb	PowerTech!	PT-BRS3		in stock											
http://www.nettleprops.com/store/p/104-PowerTech-Bravo-Two-BRA3-Propellers.aspx?feed=Froogle	PowerTech Bravo Two BRA3 Propellers	Power Tech BRA3 Bravo 2 Stainless Steel Propeller... New larger Diameter for heavier boats... 	http://www.nettleprops.com/resize/images/Power Tech/PTBV2.jpg?lr=t&bw=230&w=230&bh=230&h=230		New Propellers > Sterndrive Propellers > Mercruiser Bravo 2 Propellers	510.9500	104	new	2014-09-10	30.0000 lb	PowerTech!			in stock											
http://www.nettleprops.com/store/p/105-PowerTech-Bravo-Two-Propeller-4Blade.aspx?feed=Froogle	PowerTech Bravo Two Propeller 4Blade	17 1/4  &  18 1/2 Power Tech 4 Blade Bravo 2 Stainless Steel Propeller... 	http://www.nettleprops.com/resize/images/Power Tech/PTBV2-4B.jpg?lr=t&bw=230&w=230&bh=230&h=230		New Propellers > Sterndrive Propellers > Mercruiser Bravo 2 Propellers	650.0000	105	new	2014-09-10	35.0000 lb	PowerTech!	BRA4R-M400		in stock											
http://www.nettleprops.com/store/p/106-Quicksilver-Bravo-3-Propellers-Front.aspx?feed=Froogle	Quicksilver  Bravo 3  Propellers (Front)	Quicksilver  Bravo 3 LH Front Stainless Steel Propeller... 	http://www.nettleprops.com/resize/images/Quicksilver Propellers/Quicksilver BV3S.jpg?lr=t&bw=230&w=230&bh=230&h=230		New Propellers > Sterndrive Propellers > Mercruiser Bravo 3 Propellers	525.0000	106	new	2014-09-10	15.0000 lb	Mercury Marine / Quicksilver			in stock											
http://www.nettleprops.com/store/p/107-Quicksilver-Bravo-3-Propellers-Rear.aspx?feed=Froogle	Quicksilver  Bravo 3 Propellers (Rear)	Quicksilver  Bravo 3 RH Rear Stainless Steel Propeller... 	http://www.nettleprops.com/resize/images/Quicksilver Propellers/Quicksilver BV3S.jpg?lr=t&bw=230&w=230&bh=230&h=230		New Propellers > Sterndrive Propellers > Mercruiser Bravo 3 Propellers	525.0000	107	new	2014-09-10	15.0000 lb	Mercury Marine / Quicksilver			in stock											
