ItemID,ItemNumber,ItemName,Variation1Group,Variation1Description,Variation1Surcharge,Variation1SurchargeType,Variation1ItemNumberExtension,Variation2Group,Variation2Description,Variation2Surcharge,Variation2SurchargeType,Variation2ItemNumberExtension,Variation3Group,Variation3Description,Variation3Surcharge,Variation3SurchargeType,Variation3ItemNumberExtension
475,STB-2808,STB-2808,,,,,,,,,,,,,,,
476,STB-681,STB-681,,,,,,,,,,,,,,,
477,STB-2414,STB-2414,,,,,,,,,,,,,,,
478,STB-2318,STB-2318,,,,,,,,,,,,,,,
479,STB-1438,STB-1438,,,,,,,,,,,,,,,
480,STB-1481,STB-1481,,,,,,,,,,,,,,,
481,STB-2229,STB-2229,,,,,,,,,,,,,,,
482,STB-1050,STB-1050,,,,,,,,,,,,,,,
483,STB-173,STB-173,,,,,,,,,,,,,,,
484,STB-2669,STB-2669,,,,,,,,,,,,,,,
485,STB-2423,STB-2423,,,,,,,,,,,,,,,
486,STB-2513,STB-2513,,,,,,,,,,,,,,,
487,STB-177,STB-177,,,,,,,,,,,,,,,
488,STB-2770,STB-2770,,,,,,,,,,,,,,,
489,STB-1301,STB-1301,,,,,,,,,,,,,,,
490,STB-2567,STB-2567,,,,,,,,,,,,,,,
491,STB-1001,STB-1001,,,,,,,,,,,,,,,
492,STB-1406,STB-1406,,,,,,,,,,,,,,,
493,STB-327,STB-327,,,,,,,,,,,,,,,
494,STB-1257,STB-1257,,,,,,,,,,,,,,,
495,STB-2018,STB-2018,,,,,,,,,,,,,,,
496,STB-564,STB-564,,,,,,,,,,,,,,,
497,STB-2572,STB-2572,,,,,,,,,,,,,,,
498,STB-1652,STB-1652,,,,,,,,,,,,,,,
499,STB-447,STB-447,,,,,,,,,,,,,,,
500,STB-868,STB-868,,,,,,,,,,,,,,,
501,STB-2060,STB-2060,,,,,,,,,,,,,,,
502,STB-925,STB-925,,,,,,,,,,,,,,,
503,STB-380,STB-380,,,,,,,,,,,,,,,
504,STB-2817,STB-2817,,,,,,,,,,,,,,,
505,STB-700,STB-700,,,,,,,,,,,,,,,
506,STB-365,STB-365,,,,,,,,,,,,,,,
507,STB-550,STB-550,,,,,,,,,,,,,,,
508,STB-2596,STB-2596,,,,,,,,,,,,,,,
509,STB-98,STB-98,,,,,,,,,,,,,,,
510,STB-1714,STB-1714,,,,,,,,,,,,,,,
511,STB-233,STB-233,,,,,,,,,,,,,,,
512,STB-1972,STB-1972,,,,,,,,,,,,,,,
513,STB-157,STB-157,,,,,,,,,,,,,,,
514,STB-1240,STB-1240,,,,,,,,,,,,,,,
515,STB-260,STB-260,,,,,,,,,,,,,,,
516,STB-1373,STB-1373,,,,,,,,,,,,,,,
517,STB-696,STB-696,,,,,,,,,,,,,,,
518,STB-2140,STB-2140,,,,,,,,,,,,,,,
519,STB-273,STB-273,,,,,,,,,,,,,,,
520,STB-980,STB-980,,,,,,,,,,,,,,,
521,STB-586,STB-586,,,,,,,,,,,,,,,
522,STB-2022,STB-2022,,,,,,,,,,,,,,,
523,STB-212,STB-212,,,,,,,,,,,,,,,
524,STB-1230,STB-1230,,,,,,,,,,,,,,,
525,STB-2690,STB-2690,,,,,,,,,,,,,,,
526,STB-223,STB-223,,,,,,,,,,,,,,,
527,STB-1938,STB-1938,,,,,,,,,,,,,,,
528,STB-986,STB-986,,,,,,,,,,,,,,,
529,STB-1478,STB-1478,,,,,,,,,,,,,,,
530,STB-1045,STB-1045,,,,,,,,,,,,,,,
531,STB-961,STB-961,,,,,,,,,,,,,,,
532,STB-977,STB-977,,,,,,,,,,,,,,,
533,STB-1275,STB-1275,,,,,,,,,,,,,,,
534,STB-1640,STB-1640,,,,,,,,,,,,,,,
535,STB-877,STB-877,,,,,,,,,,,,,,,
536,STB-2568,STB-2568,,,,,,,,,,,,,,,
537,STB-1125,STB-1125,,,,,,,,,,,,,,,
538,STB-1606,STB-1606,,,,,,,,,,,,,,,
539,STB-2170,STB-2170,,,,,,,,,,,,,,,
540,STB-1530,STB-1530,,,,,,,,,,,,,,,
541,STB-2656,STB-2656,,,,,,,,,,,,,,,
542,STB-2248,STB-2248,,,,,,,,,,,,,,,
543,STB-2413,STB-2413,,,,,,,,,,,,,,,
544,STB-1417,STB-1417,,,,,,,,,,,,,,,
545,STB-440,STB-440,,,,,,,,,,,,,,,
546,STB-1064,STB-1064,,,,,,,,,,,,,,,
547,STB-329,STB-329,,,,,,,,,,,,,,,
548,STB-439,STB-439,,,,,,,,,,,,,,,
549,STB-1485,STB-1485,,,,,,,,,,,,,,,
550,STB-593,STB-593,,,,,,,,,,,,,,,
551,STB-477,STB-477,,,,,,,,,,,,,,,
552,STB1303,STB1303,,,,,,,,,,,,,,,
553,STB-2756,STB-2756,,,,,,,,,,,,,,,
554,STB-178,STB-178,,,,,,,,,,,,,,,
